,City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
34,长沙,255,204,0,1.38,45,36,38,10
304,湘潭,253,202,227,1.29,46,47,40,11
283,吐鲁番地区,251,200,286,4.65,116,14,43,37
297,乌鲁木齐,199,149,160,1.94,67,14,26,18
15,宝鸡,189,142,193,1.55,75,12,36,18
308,咸阳,185,139,186,1.63,83,5,30,21
307,咸宁,182,137,0,1.63,40,23,54,2
343,岳阳,172,130,184,1.1,30,30,45,7
303,西安,171,129,171,1.67,74,10,27,19
330,宜宾,167,126,172,1.53,48,39,51,20
372,自贡,165,125,148,0.88,55,44,83,14
278,铜川,164,124,182,2.13,74,12,40,39
30,常德,154,117,163,2.35,46,36,69,5
44,池州,154,117,185,1.5,34,28,39,12
271,太原,153,116,234,2.05,85,5,17,102
331,宜昌,153,116,156,1.5,49,30,60,13
259,朔州,153,116,225,2.02,76,13,27,149
117,黄石,150,115,155,1.46,47,13,39,12
341,益阳,150,115,206,1.7,38,44,62,10
342,永州,148,113,147,0.74,38,31,52,11
196,南昌,147,112,144,1.72,48,23,26,6
225,钦州,146,111,192,1.87,74,25,76,16
287,渭南,143,109,177,1.15,71,3,31,14
188,泸州,141,107,152,0.95,55,12,22,16
64,鄂尔多斯,140,41,227,0.86,30,57,62,24
6,安庆,139,106,182,1.0,36,55,53,7
146,九江,135,102,120,0.98,31,39,44,17
317,忻州,135,102,209,1.9,71,7,24,117
157,来宾,135,102,169,1.55,44,24,43,14
295,五家渠,135,102,129,1.1,64,15,30,15
370,株洲,135,102,191,1.27,60,18,15,12
367,珠海,133,101,132,1.02,80,101,129,10
171,临安,131,99,196,1.4,46,29,35,7
84,贵阳,130,98,131,0.73,28,20,37,15
281,铜陵,127,96,156,1.23,43,42,40,18
363,中山,124,93,151,2.03,136,29,113,10
28,沧州,122,92,134,1.87,76,6,31,56
204,内江,122,92,113,0.65,39,31,33,9
222,庆阳,121,91,169,1.4,62,32,69,51
250,邵阳,120,90,97,1.08,20,54,55,15
144,晋中,119,85,186,1.9,71,9,28,112
1,阿克苏地区,117,88,180,1.1,112,9,36,24
140,荆州,117,88,138,0.93,45,15,27,8
276,天水,117,88,149,1.5,60,26,63,57
53,大同,116,87,146,1.38,23,43,19,33
277,铁岭,116,87,127,1.02,46,27,60,31
45,重庆,115,86,120,1.07,54,6,9,15
179,六盘水,115,86,123,0.86,39,40,49,23
8,安顺,111,83,106,0.8,32,36,53,45
354,章丘,110,66,168,0.9,54,12,32,15
